"ULTIMA ATUALIZACAO";"08/04/2021 02:08"
"ANO";"MES";"SENADOR";"TIPO_DESPESA";"CNPJ_CPF";"FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO";"COD_DOCUMENTO"
"2021";"1";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"ALVLAF";"09/01/2021";"Companhia Aérea: LATAM, Localizador: ALVLAF. Passageiros: ELAINE DA SILVA GONTIJO (Matrícula 353209, COMISSIONADO), Voo: 3027 - BSB - AJU - 15/01/2021; ELAINE DA SILVA GONTIJO (Matrícula 353209, COMISSIONADO), Voo: 3026 - AJU - BSB - 22/01/2021;";"2571,93";"2155142"
"2021";"1";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"BN6CUG";"11/01/2021";"Companhia Aérea: GOL, Localizador: BN6CUG. Passageiros: ALESSANDRA APARECIDA MONTEIRO (Matrícula 347489, COMISSIONADO), Voo: 9121 - SSA - CGH - 22/01/2021; ALESSANDRA APARECIDA MONTEIRO (Matrícula 347489, COMISSIONADO), Voo: 9043 - AJU - SSA - 22/01/2021;";"1890,08";"2155141"
"2021";"1";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"MBT35V";"12/01/2021";"Companhia Aérea: AZUL, Localizador: MBT35V. Passageiros: ALESSANDRA APARECIDA MONTEIRO (Matrícula 347489, COMISSIONADO), Voo: 4855 - CNF - AJU - 19/01/2021; ALESSANDRA APARECIDA MONTEIRO (Matrícula 347489, COMISSIONADO), Voo: 4202 - CGH - CNF - 19/01/2021;";"1916,47";"2155140"
"2021";"1";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"ICLBTS";"28/01/2021";"Companhia Aérea: LATAM, Localizador: ICLBTS. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 3026 - AJU - BSB - 31/01/2021;";"3223,4";"2155139"
"2021";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0107-03";"CLARO S.A / NET";"2102906690882";"01/02/2021";"";"252,15";"2156746"
"2021";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.017.462/0001-63";"ENERGISA";"032.139.262";"10/02/2021";"";"348,53";"2156744"
"2021";"2";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.128.780/0001-00";"Prefeitura de Aracaju";"36688280-50";"03/02/2021";"IPTU";"1125,54";"2155613"
"2021";"2";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"11.088.468/0001-04";"KAFLEX COMERCIAL LTDA";"2";"05/03/2021";"";"600";"2156740"
"2021";"2";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"26.472.085/0001-02";"Maxcolor Copiadora";"00000026";"18/02/2021";"";"200";"2155714"
"2021";"2";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"729";"03/02/2021";"";"120";"2155619"
"2021";"2";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"731";"06/02/2021";"";"240";"2155620"
"2021";"2";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"735";"12/02/2021";"";"120";"2156741"
"2021";"2";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"734";"12/02/2021";"";"120";"2156742"
"2021";"2";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"742";"25/02/2021";"";"120";"2156743"
"2021";"2";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"LNXEJH";"19/02/2002";"Companhia Aérea: LATAM, Localizador: LNXEJH. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 3026 - AJU - BSB - 22/02/2021;";"2666,43";"2156738"
"2021";"2";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"TTHD5R";"27/01/2021";"Companhia Aérea: GOL, Localizador: TTHD5R. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 1808 - BSB - AJU - 04/02/2021;";"3483,05";"2155610"
"2021";"2";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"HFJSLN";"05/02/2021";"Companhia Aérea: LATAM, Localizador: HFJSLN. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 3026 - AJU - BSB - 08/02/2021;";"3216,09";"2155611"
"2021";"2";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"HE3YWC";"10/02/2021";"Companhia Aérea: AZUL, Localizador: HE3YWC. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 4033 - VCP - AJU - 10/02/2021; ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 4055 - BSB - VCP - 10/02/2021;";"4116,09";"2155612"
"2021";"2";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"JHQLFI";"23/02/2021";"Companhia Aérea: GOL, Localizador: JHQLFI. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 1808 - BSB - AJU - 26/02/2021;";"2793,62";"2156739"
"2021";"3";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25.012.398/0001-07";"GOOGLE CLOUD BRASIL COMPUTAÇÃO E SERVIÇOS DE DADOS LTDA";"01502772";"04/03/2021";"";"26,56";"2157291"
"2021";"3";"ALESSANDRO VIEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"39.827.859/0001-04";"MM TOUR";"SSKNSN";"17/03/2021";"Companhia Aérea: LATAM, Localizador: SSKNSN. Passageiros: ALESSANDRO VIEIRA (Matrícula 341487, PARLAMENTAR), Voo: 3330 - GRU - AJU - 19/03/2021;";"1865,17";"2157289"
"2021";"1";"ANGELO CORONEL";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0081-21";"Claro S.A + Net";"835934";"23/01/2021";"Internet: NET+Claro - JAN/2021";"197,59";"2155446"
"2021";"1";"ANGELO CORONEL";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.504.675/0001-10";"Embasa - Água/Esgoto";"26523280";"15/12/2020";"Embasa - ÁGUA/DEZ-2020";"122,58";"2155444"
"2021";"1";"ANGELO CORONEL";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"02.421.421/0009-79";"TIM S.A.";"4409702710";"14/01/2021";"TIM - Internet - JAN 2021";"173,15";"2155447"
"2021";"1";"ANGELO CORONEL";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"30.727.829/0001-51";"BUNKER BRAIN AUDIOVISUAL EIRELI";"63";"21/01/2021";"Assessoria de comunicação.";"7600";"2154735"
"2021";"1";"ANGELO CORONEL";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"35.184.919/0001-67";"JCAR Locadora de Automóveis Ltda";"202100000000004";"04/02/2021";"Locação de automóvel de apoio à atividade parlamentar.";"9900";"2155350"
"2021";"1";"ANGELO CORONEL";"Passagens aéreas, aquáticas e terrestres nacionais";"12.120.914/0001-75";"OPEN AIR TRAVEL";"GJ818C";"11/01/2021";"Companhia Aérea: GOL, Localizador: GJ818C. Passageiros: ANGELO MÁRIO CORONEL DE AZEVEDO MARTINS (Matrícula 341177, PARLAMENTAR), Voo: 1788 - SSA/CGH - 15/01/2021;";"907,3";"2154228"
"2021";"1";"ANGELO CORONEL";"Passagens aéreas, aquáticas e terrestres nacionais";"12.120.914/0001-75";"OPEN AIR TRAVEL";"MPXHXW";"18/01/2021";"Companhia Aérea: LATAM, Localizador: MPXHXW. Passageiros: ANGELO MÁRIO CORONEL DE AZEVEDO MARTINS (Matrícula 341177, PARLAMENTAR), Voo: 3509 - CGH/SSA - 19/01/2021;";"235,3";"2154231"
"2021";"2";"ANGELO CORONEL";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.504.675/0001-10";"Embasa - Água/Esgoto";"26523280";"19/01/2021";"Conta de água - Embasa - FEV/2021";"60,19";"2155451"
"2021";"2";"ANGELO CORONEL";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"30.727.829/0001-51";"BUNKER BRAIN AUDIOVISUAL EIRELI";"64";"22/02/2021";"Consultoria/assessoria de comunicação.";"7600";"2155813"
"2021";"2";"ANGELO CORONEL";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"35.184.919/0001-67";"JCAR Locadora de Automóveis Ltda";"5";"08/03/2021";"Locação de carro de apoio à atividade parlamentar.";"9900";"2156706"
"2021";"3";"ANGELO CORONEL";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"30.727.829/0001-51";"BUNKER BRAIN AUDIOVISUAL EIRELI";"65";"04/03/2021";"Assessoria/Consultoria de comunicação";"7600";"2156611"
"2021";"1";"ANTONIO ANASTASIA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"06.981.180/0001-16";"Cemig Distribuição S.A";"263492612";"04/01/2021";"";"247,98";"2154212"
"2021";"1";"ANTONIO ANASTASIA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0112-62";"CLARO S.A";"0001282142";"05/01/2021";"";"798,04";"2154211"
"2021";"1";"ANTONIO ANASTASIA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.589.016/0001-35";"Greenwich Empreendimentos Ltda.";"";"05/01/2021";"";"2347,37";"2154179"
"2021";"1";"ANTONIO ANASTASIA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.589.016/0001-35";"Greenwich Empreendimentos Ltda.";"";"11/01/2021";"";"5500";"2154180"
"2021";"1";"ANTONIO ANASTASIA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"01.003.939/0001-72";"COMPUMAKE LOCAÇÃO DE TECNOLOGIA LTDA";"015426";"05/01/2021";"";"1925";"2154178"
"2021";"1";"ANTONIO ANASTASIA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"32.845.401/0001-39";"LOJA AZUL TELECOMUNICAÇÕES LTDA";"2020/103";"18/12/2020";"";"414";"2154177"
"2021";"1";"ANTONIO ANASTASIA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.814.894/0001-23";"POSTO CATEDRAL LTDA";"000345420";"10/01/2021";"";"150";"2154791"
"2021";"1";"ANTONIO ANASTASIA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16.631.418/0001-37";"POSTO RIEGERT LTDA";"45121";"30/01/2021";"";"200";"2155979"
"2021";"1";"ANTONIO ANASTASIA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04.437.534/0001-30";"UNIDAS S.A.";"359384 00F";"10/12/2020";"";"291,5";"2154176"
"2021";"1";"ANTONIO ANASTASIA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04.437.534/0001-30";"UNIDAS S.A.";"362761 00F";"10/01/2021";"";"1457,5";"2154333"
"2021";"1";"ANTONIO ANASTASIA";"Passagens aéreas, aquáticas e terrestres nacionais";"16.978.175/0001-08";"Adria Viagens e Turismo Ltda.";"HIKWWD";"26/01/2021";"Companhia Aérea: AZUL, Localizador: HIKWWD. Passageiros: ANTONIO AUGUSTO JUNHO ANASTASIA (Matrícula 295878, PARLAMENTAR), Voo: 4710 - CNF - BSB - 30/01/2021;";"446,65";"2154766"
"2021";"2";"ANTONIO ANASTASIA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"08.754.832/0001-05";"AeC ADVENTUR CONSERVAÇÃO E LIMPEZA LTDA";"2021/59";"28/02/2021";"";"1449";"2156340"
